,abstract,ano,doi,keywords,periodico,titulo
0,"Highlights•This study aims to forecast the predictors of social CRM strategy adoption by SMEs.•SEM was used to determine which variables had important impact on social CRM adoption.•Neural network method was used to rank the importance level of predictors from SEM.•Compatibility and information capture are the most significant factors for social CRM adoption.The growth of social media usage questions the old-style idea of customer relationship management (CRM). Social CRM strategy is a novel version of CRM empowered by social media technology that offers a new way of managing relationships with customers effectively. This study aims to forecast the predictors of social CRM strategy adoption by small and medium enterprises (SMEs). The proposed model used in this study derived its theoretical support from IT/IS, marketing, and CRM literature. In the proposed Technology-Organization-Environment-Process (TOEP) adoption model, several hypotheses are developed which examine the role of Technological factors, such as Cost of Adoption, Relative Advantages, Complexity, and Compatibility; Organizational factors, such as IT/IS knowledge of employee, and Top management support; Environmental factors such as Competitive Pressure, and Customer Pressure; and Process factors such as Information Capture, Information Use, and Information Sharing; all having a positive relationship with social CRM adoption. This research applied a following two staged SEM-neural network method combining both structural equation modelling (SEM) and neural network analyses. The proposed hypothetical model is examined by using SEM on the collected data of SMEs in Kuala Lumpur, the central city of Malaysia. The SEM approach with a neural network method can be used to investigate the complicated relations involved in the adoption of social CRM. The study finds that compatibility, information capture, IT/IS knowledge of employee, top management support, information sharing, competitive pressure, cost, relative advantage, and customer pressure are the most important factors influencing social CRM adoption. Remarkably, the results of neural network analysis show that compatibility and information capture of social CRM are the most significant factors which affect SMEs' adoption of this form of customer relationship management. The outcomes of this research benefit executives' decision-making by identifying and ranking factors that enable them to discover how they can advance the usage of social CRM in their firms. Furthermore, the findings of this study can help the managers/owners of SMEs assign their resources, according to the ranking of social CRM adoption factors, when they are making plans to adopt social CRM. This study differs from previous studies as it proposes an innovative new approach to determine what influences the adoption of social CRM. By proposing the TOEP adoption model, additional information process factors advance the traditional TOE adoption model.",2017,https://doi.org/10.1016/j.chb.2017.05.032,"['CRM adoption', 'Social CRM', 'Technology-organization-environment-process', 'SMEs', 'Social media', 'SEM-Neural network']",Computers in Human Behavior,Forecasting social CRM adoption in SMEs: A combined SEM-neural network method
1,"Problems of successful application of social CRM in the company are still poorly explored and in practice weakly applied area of marketing management. Managers often do not know modern techniques and metrics for assessing implementation of social CRM. The aim of this paper is to create a system for successful application of social CRM in the company based on detailed analysis of sources and conducted research. In addressing were identified innovative approaches to relationship marketing (e-CRM, social CRM…) and their use in conditions of Slovak companies (conducted own empirical research).",2015,https://doi.org/10.1016/S2212-5671(15)00487-6,"['social CRM', 'relationship marketing', 'customer', 'enterprise ;']",Procedia Economics and Finance,Successful Application of Social CRM in The Company
2,"The emergence of big data brings a new wave of Customer Relationship Management (CRM)’s strategies in supporting personalization and customization of sales, services and customer services. CRM needs big data for better customers experiences especially personalization and customization of services. Big data is a popular term used to describe data that is volume, velocity, variety, veracity, and value of data both structured and unstructured. Big data requires new tools and techniques to capture, store and analyse it and is used to improve decision making for enhancing customer management. The aim of the research is to examine big data for CRM’s scenario. The method of collection of data for this study was literature review and thematic analysis from recent studies. The study reveals that CRM with big data has enabled business to become more aggressive in term of marketing strategy like push notification through smartphone to their potential target audiences.",2018,https://doi.org/10.1016/j.aci.2018.05.004,"['Big data', 'Data analytics', 'CRM', 'Web 2.0', 'Social networks']",Applied Computing and Informatics,Customer relationship management and big data enabled: Personalization & customization of services
3,"In this era of new technologies, social media is a must for an organization to remain competitive on the market. Social Media is a tool to manage relationships with customers and keep them closer. This paper aims to analyze how social media supports the development of customer relationship management. It is examined the significant role of social media, the use and the rise of social networks. The use of social media marketing represents a strong factor in developing a CRM strategy. CRM considers the client the center of a business and orientates the marketing policy in this direction. Based on case studies and questionnaires, this article analyzes the necessity of transition from traditional CRM to social CRM. Although social CRM is a relatively new domain, the researchers are very interested in how CRM can emerge with social media. The study emphasizes examples of how companies can benefit from the use of social media, growing sales and profitability, creating advertisements, acquiring new customers, retaining them and make them loyal. Organizations should adapt to the rise of this new trend – social media.",2016,https://doi.org/10.1016/S2212-5671(16)30266-0,"['customer relationship management', 'social media', 'marketing']",Procedia Economics and Finance,Social Media – A Strategy in Developing Customer Relationship Management
4,"Highlights•The impact of Social Media use on performance is examined on a sample of 222 hotels.•The use of Social Networking sites is not directly related to Social CRM performance.•Review sites use, like Tripadvisor, showed a direct effect on Social CRM performance.•Social CRM Capabilities play a key role in the process of value creation with Social Media tools.Social Media has transformed the way firms relate to their markets. Hotels all over the world are increasingly using these tools, integrating them into their Customer Relationship Management (CRM) strategies to engage customers in active conversations. The use of Social Networking and Review Sites, like TripAdvisor, has become all pervasive, and hotels are investing large sums of money in engaging customers via Social Media. However, there is a certain degree of skepticism about how these technologies can help to create value. To shed light on the topic, based on a sample of 222 Spanish hotels, this study examines the real impact of Social Media use, showing the key role played by Social CRM Capabilities in the process of value creation with these tools. By building on the Resource-Based theory, the proposed model shows the pathway between Social Media use and organizational performance, in terms of profitability, sales and customer retention.",2018,https://doi.org/10.1016/j.ijhm.2018.03.008,"['Social Media', 'Social Networking', 'Social CRM', 'Value creation', 'Hotel sector']",International Journal of Hospitality Management,The missing link: Creating value with Social Media use in hotels
5,"Highlights•Big Data-enabled CRM could require a holistic reshape of pertinent CSFs.•Value extraction from Big Data initiatives need for a sound business direction.•Big Data initiatives could strongly benefit from a business case and pilot tests.•Big Data should be framed as an enabling factor of already well-known projects.This paper aims to figure out the potential impact of Big Data (BD) on Critical Success Factors (CSFs) of Customer Relationship Management (CRM). In fact, while some authors have posited a relationship between BD and CRM, literature lacks works that go into the heart of the matter.Through an extensive up-to-date in-depth literature review about CRM, twenty (20) CSFs were singled out from 104 selected papers, and organized within an ad-hoc classification framework. The consistency of the classification was checked by means of a content analysis. Evidences were discussed and linked to the BD literature, and five propositions about how BD could affect CRM CSFs were formalized.Our results suggest that BD-enabled CRM initiatives could require several changes in the pertinent CSFs. In order to get rid of the hype effect surrounding BD, we suggest to adopt an explorative approach towards them by defining a mandatory business direction through sound business cases and pilot tests. From a general standpoint, BD could be framed as an enabling factor of well-known projects, like CRM initiatives, in order to reap the benefits from the new technologies by addressing the efforts through already acknowledged management paths.",2018,https://doi.org/10.1016/j.ipm.2017.10.005,"['Big Data', 'CRM', 'Literature review', 'Critical Success Factors (CSFs)', 'Word tree']",Information Processing & Management,Big Data-enabled Customer Relationship Management: A holistic approach
6,"This study examines how social media technology usage and customer-centric management systems contribute to a firm-level capability of social customer relationship management (CRM). Drawing from the literature in marketing, information systems, and strategic management, the first contribution of this study is the conceptualization and measurement of social CRM capability. The second key contribution is the examination of how social CRM capability is influenced by both customer-centric management systems and social media technologies. These two resources are found to have an interactive effect on the formation of a firm-level capability that is shown to positively relate to customer relationship performance. The study analyzes data from 308 organizations using a structural equation modeling approach.",2014,https://doi.org/10.1016/j.jbusres.2013.05.002,"['Customer relationship management', 'CRM', 'Customer relationship performance', 'Information technology', 'Marketing capabilities', 'Social media technology']",Journal of Business Research,Social media technology usage and customer relationship performance: A capabilities-based examination of social CRM
7,"Despite the growing recognition of the critical role of post-sale service on the salesperson-customer relationship, few studies have explored how salesperson service behaviors (SSB) are enhanced through tools such as sales-based customer relationship management (CRM) technology and social media. Using dyadic salesperson-customer data within a business-to-business context, this study analyzes the direct effects of sales-based CRM technology on the behaviors of diligence, information communication, inducements, empathy and sportsmanship. Additionally, the study examines the interactive effects of sales-based CRM technology and social media on these behaviors. The results indicate that sales-based CRM technology has a positive influence on SSBs and that salespeople using CRM technology in conjunction with social media are more likely to exhibit higher levels of SSBs than their counterparts with low social media technology use.",2017,https://doi.org/10.1016/j.jbusres.2017.08.021,"['CRM', 'Social media', 'Social CRM', 'Social selling', 'Salesperson service behaviors']",Journal of Business Research,Examining the role of sales-based CRM technology and social media use on post-sale service behaviors in India
8,"This paper addresses the implementation of Customer Relationship Management (CRM) in insurance companies. Thus, we reviewed several specialized papers addressing regional and international solutions for customer relationship management. We focus on strategies used in sales management with reference to the standards of customer service and the models used in customer relationship management. The aim of the authors is to present the benefits resulting from the application of new technologies, thus estimating the pace of change, the new opportunities and the need for flexibility in the relationship with customers. Along with the technological component the human component is also present in order to ensure the successful implementation of CRM.",2014,https://doi.org/10.1016/S2212-5671(14)00568-1,"['Customer Relationship Management', 'sales management', 'technology']",Procedia Economics and Finance,Customer Relationship Management in the Insurance Industry
9,"Highlights•Providing a systematic overview of the existing techniques in the field of CRM.•Highlighting the advantages and disadvantages of the existing techniques in the field of CRM.•Exploring some of the main challenges in the field of CRM.•Dividing the CRM techniques into five categories.•Outlining the key areas where future research can improve the use of CRM.In the information systems, customer relationship management (CRM) is the overall process of building and maintaining profitable customer relationships by delivering superior customer value and satisfaction with the goal of improving the business relationships with customers. Also, it is the strongest and the most efficient approach to maintaining and creating the relationships with customers. However, to the best of our knowledge and despite its importance, there is not any comprehensive and systematic study about reviewing and analyzing its important techniques. Therefore, in this paper, a comprehensive study and survey on the state of the art mechanisms in the scope of the CRM are done. It follows this goal by looking at five categories in which CRM plays a significant role: E-CRM, knowledge management, data mining, data quality and, social CRM. In each category, a couple of studies are presented and determinants of CRM are described and discussed. The major development in these five categories is reviewed and the new challenges are outlined. Also, a systematic literature review (SLR) in each of these five categories is provided. Furthermore, insights into the identification of open issues and guidelines for future research are provided.",2016,https://doi.org/10.1016/j.chb.2016.03.008,"['Information systems', 'CRM', 'Electronic', 'Knowledge management', 'Data mining', 'Data quality']",Computers in Human Behavior,Customer relationship management mechanisms: A systematic review of the state of the art literature and recommendations for future research
